ending,endingstem,penSyl,person,number,tense,mood,suff1,suff2,stemC1,stemC2,stemC3
ar,ANY,ANY,2,1,3,0,asteis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,3,0,aron,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,3,0,güé,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,3,0,guaste,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,3,0,guó,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,3,0,guamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,3,0,guasteis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,3,0,guaron,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,3,0,qué,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,3,0,caste,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,3,0,có,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,3,0,camos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,3,0,casteis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,3,0,caron,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,3,0,gué,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,3,0,gaste,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,3,0,gó,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,3,0,gamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,3,0,gasteis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,3,0,garon,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,3,0,cé,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,3,0,zaste,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,3,0,zó,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,3,0,zamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,3,0,zasteis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,3,0,zaron,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,3,0,ié,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,3,0,iaste,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,3,0,ió,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,3,0,iamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,3,0,iasteis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,3,0,iaron,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,3,0,ué,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,3,0,uaste,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,3,0,uó,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,3,0,uamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,3,0,uasteis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,3,0,uaron,ANY,ANY,ANY,ANY
ar,ANY,ai,1,0,3,0,é,ANY,ai,ANY,ANY
ar,ANY,ai,2,0,3,0,aste,ANY,ai,ANY,ANY
ar,ANY,ai,3,0,3,0,ó,ANY,ai,ANY,ANY
ar,ANY,ai,1,1,3,0,amos,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,3,0,asteis,ANY,ai,ANY,ANY
ar,ANY,ai,3,1,3,0,aron,ANY,ai,ANY,ANY
ar,ANY,au,1,0,3,0,é,ANY,au,ANY,ANY
ar,ANY,au,2,0,3,0,aste,ANY,au,ANY,ANY
ar,ANY,au,3,0,3,0,ó,ANY,au,ANY,ANY
ar,ANY,au,1,1,3,0,amos,ANY,au,ANY,ANY
ar,ANY,au,2,1,3,0,asteis,ANY,au,ANY,ANY
ar,ANY,au,3,1,3,0,aron,ANY,au,ANY,ANY
ar,ANY,ei,1,0,3,0,é,ANY,ei,ANY,ANY
ar,ANY,ei,2,0,3,0,aste,ANY,ei,ANY,ANY
ar,ANY,ei,3,0,3,0,ó,ANY,ei,ANY,ANY
ar,ANY,ei,1,1,3,0,amos,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,3,0,asteis,ANY,ei,ANY,ANY
ar,ANY,ei,3,1,3,0,aron,ANY,ei,ANY,ANY
ar,ANY,eu,1,0,3,0,é,ANY,eu,ANY,ANY
ar,ANY,eu,2,0,3,0,aste,ANY,eu,ANY,ANY
ar,ANY,eu,3,0,3,0,ó,ANY,eu,ANY,ANY
ar,ANY,eu,1,1,3,0,amos,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,3,0,asteis,ANY,eu,ANY,ANY
ar,ANY,eu,3,1,3,0,aron,ANY,eu,ANY,ANY
ar,ANY,ANY,1,0,2,0,aré,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,2,0,arás,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,2,0,ará,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,2,0,aremos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,2,0,aréis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,2,0,arán,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,2,0,guaré,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,2,0,guarás,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,2,0,guará,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,2,0,guaremos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,2,0,guaréis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,2,0,guarán,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,2,0,caré,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,2,0,carás,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,2,0,cará,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,2,0,caremos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,2,0,caréis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,2,0,carán,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,2,0,garé,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,2,0,garás,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,2,0,gará,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,2,0,garemos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,2,0,garéis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,2,0,garán,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,2,0,zaré,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,2,0,zarás,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,2,0,zará,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,2,0,zaremos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,2,0,zaréis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,2,0,zarán,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,2,0,iaré,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,2,0,iarás,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,2,0,iará,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,2,0,iaremos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,2,0,iaréis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,2,0,iarán,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,2,0,uaré,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,2,0,uarás,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,2,0,uará,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,2,0,uaremos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,2,0,uaréis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,2,0,uarán,ANY,ANY,ANY,ANY
ar,ANY,ai,1,0,2,0,aré,ANY,ai,ANY,ANY
ar,ANY,ai,2,0,2,0,arás,ANY,ai,ANY,ANY
ar,ANY,ai,3,0,2,0,ará,ANY,ai,ANY,ANY
ar,ANY,ai,1,1,2,0,aremos,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,2,0,aréis,ANY,ai,ANY,ANY
ar,ANY,ai,3,1,2,0,arán,ANY,ai,ANY,ANY
ar,ANY,au,1,0,2,0,aré,ANY,au,ANY,ANY
ar,ANY,au,2,0,2,0,arás,ANY,au,ANY,ANY
ar,ANY,au,3,0,2,0,ará,ANY,au,ANY,ANY
ar,ANY,au,1,1,2,0,aremos,ANY,au,ANY,ANY
ar,ANY,au,2,1,2,0,aréis,ANY,au,ANY,ANY
ar,ANY,au,3,1,2,0,arán,ANY,au,ANY,ANY
ar,ANY,ei,1,0,2,0,aré,ANY,ei,ANY,ANY
ar,ANY,ei,2,0,2,0,arás,ANY,ei,ANY,ANY
ar,ANY,ei,3,0,2,0,ará,ANY,ei,ANY,ANY
ar,ANY,ei,1,1,2,0,aremos,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,2,0,aréis,ANY,ei,ANY,ANY
ar,ANY,ei,3,1,2,0,arán,ANY,ei,ANY,ANY
ar,ANY,eu,1,0,2,0,aré,ANY,eu,ANY,ANY
ar,ANY,eu,2,0,2,0,arás,ANY,eu,ANY,ANY
ar,ANY,eu,3,0,2,0,ará,ANY,eu,ANY,ANY
ar,ANY,eu,1,1,2,0,aremos,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,2,0,aréis,ANY,eu,ANY,ANY
ar,ANY,eu,3,1,2,0,arán,ANY,eu,ANY,ANY
ar,ANY,ANY,1,0,4,0,aría,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,4,0,arías,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,4,0,aría,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,4,0,aríamos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,4,0,aríais,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,4,0,arían,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,4,0,guaría,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,4,0,guarías,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,4,0,guaría,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,4,0,guaríamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,4,0,guaríais,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,4,0,guarían,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,4,0,caría,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,4,0,carías,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,4,0,caría,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,4,0,caríamos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,4,0,caríais,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,4,0,carían,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,4,0,garía,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,4,0,garías,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,4,0,garía,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,4,0,garíamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,4,0,garíais,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,4,0,garían,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,4,0,zaría,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,4,0,zarías,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,4,0,zaría,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,4,0,zaríamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,4,0,zaríais,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,4,0,zarían,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,4,0,iaría,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,4,0,iarías,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,4,0,iaría,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,4,0,iaríamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,4,0,iaríais,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,4,0,iarían,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,4,0,uaría,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,4,0,uarías,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,4,0,uaría,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,4,0,uaríamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,4,0,uaríais,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,4,0,uarían,ANY,ANY,ANY,ANY
ar,ANY,ai,1,0,4,0,aría,ANY,ai,ANY,ANY
ar,ANY,ai,2,0,4,0,arías,ANY,ai,ANY,ANY
ar,ANY,ai,3,0,4,0,aría,ANY,ai,ANY,ANY
ar,ANY,ai,1,1,4,0,aríamos,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,4,0,aríais,ANY,ai,ANY,ANY
ar,ANY,ai,3,1,4,0,arían,ANY,ai,ANY,ANY
ar,ANY,au,1,0,4,0,aría,ANY,au,ANY,ANY
ar,ANY,au,2,0,4,0,arías,ANY,au,ANY,ANY
ar,ANY,au,3,0,4,0,aría,ANY,au,ANY,ANY
ar,ANY,au,1,1,4,0,aríamos,ANY,au,ANY,ANY
ar,ANY,au,2,1,4,0,aríais,ANY,au,ANY,ANY
ar,ANY,au,3,1,4,0,arían,ANY,au,ANY,ANY
ar,ANY,ei,1,0,4,0,aría,ANY,ei,ANY,ANY
ar,ANY,ei,2,0,4,0,arías,ANY,ei,ANY,ANY
ar,ANY,ei,3,0,4,0,aría,ANY,ei,ANY,ANY
ar,ANY,ei,1,1,4,0,aríamos,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,4,0,aríais,ANY,ei,ANY,ANY
ar,ANY,ei,3,1,4,0,arían,ANY,ei,ANY,ANY
ar,ANY,eu,1,0,4,0,aría,ANY,eu,ANY,ANY
ar,ANY,eu,2,0,4,0,arías,ANY,eu,ANY,ANY
ar,ANY,eu,3,0,4,0,aría,ANY,eu,ANY,ANY
ar,ANY,eu,1,1,4,0,aríamos,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,4,0,aríais,ANY,eu,ANY,ANY
ar,ANY,eu,3,1,4,0,arían,ANY,eu,ANY,ANY
ar,ANY,ANY,2,0,0,2,a,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,0,2,ad,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,0,2,gua,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,0,2,guad,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,0,2,ca,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,0,2,cad,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,0,2,ga,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,0,2,gad,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,0,2,za,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,0,2,zad,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,0,2,ia,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,0,2,iad,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,0,2,ua,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,0,2,uad,ANY,ANY,ANY,ANY
ar,ANY,ai,2,0,0,2,a,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,0,2,ad,ANY,ai,ANY,ANY
ar,ANY,au,2,0,0,2,a,ANY,au,ANY,ANY
ar,ANY,au,2,1,0,2,ad,ANY,au,ANY,ANY
ar,ANY,ei,2,0,0,2,a,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,0,2,ad,ANY,ei,ANY,ANY
ar,ANY,eu,2,0,0,2,a,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,0,2,ad,ANY,eu,ANY,ANY
ar,ANY,ANY,0,0,0,3,ar,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,0,3,guar,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,0,3,car,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,0,3,gar,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,0,3,zar,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,0,3,iar,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,0,3,uar,ANY,ANY,ANY,ANY
ar,ANY,ai,0,0,0,3,ar,ANY,ai,ANY,ANY
ar,ANY,au,0,0,0,3,ar,ANY,au,ANY,ANY
ar,ANY,ei,0,0,0,3,ar,ANY,ei,ANY,ANY
ar,ANY,eu,0,0,0,3,ar,ANY,eu,ANY,ANY
ar,ANY,ANY,0,0,1,3,ado,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,1,3,guado,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,1,3,cado,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,1,3,gado,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,1,3,zado,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,1,3,iado,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,1,3,uado,ANY,ANY,ANY,ANY
ar,ANY,ai,0,0,1,3,ado,ANY,ai,ANY,ANY
ar,ANY,au,0,0,1,3,ado,ANY,au,ANY,ANY
ar,ANY,ei,0,0,1,3,ado,ANY,ei,ANY,ANY
ar,ANY,eu,0,0,1,3,ado,ANY,eu,ANY,ANY
ar,ANY,ANY,0,0,2,3,ando,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,2,3,guando,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,2,3,cando,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,2,3,gando,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,2,3,zando,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,2,3,iando,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,2,3,uando,ANY,ANY,ANY,ANY
